Previous name,Current name,Index,Changed?,Comment
Eileen Connolly,Eileen Connolly,1133,,
Eirion Therapeutics Inc.,Eirion Therapeutics Inc.,1134,,
"Eisai Co., Ltd.",Eisai Inc.,1135,Changed,
Eisai Inc.,Eisai Inc.,1135,,
Eisai Limited,Eisai Inc.,1135,Changed,
Eisai Research Institute,Eisai Inc.,1135,Changed,
Eisenhower Army Medical Center,Eisenhower Army Medical Center,1136,,
Elena Gonzalez Brant,Elena Gonzalez Brant,1137,,
Eli Avisar,Eli Avisar,1138,,
Eli Lilly and Company,Eli Lilly and Company,1139,,
Elif Oral,Elif Oral,1140,,
Elijah W. Stommel,Elijah W. Stommel,1141,,
Elizabeth Berry-Kravis,Elizabeth Berry-Kravis,1142,,Doctor
"Elizabeth Krans, MD","Elizabeth Krans, MD",1143,,Doctor
Elizabeth Shane,Elizabeth Shane,1144,,Doctor
"Elliot Israel, MD","Elliot Israel, MD",1145,,Doctor
Elman Retina Group,Elman Retina Group,1146,,
Elusys Therapeutics,Elusys Therapeutics,1147,,
EmCyte Corporation,EmCyte Corporation,1148,,
Eman Sayed Hassan Abd Allah,Eman Sayed Hassan Abd Allah,1149,,
"Emanual Maverakis, MD","Emanual Maverakis, MD",1150,,Doctor
"Embera NeuroTherapeutics, Inc.","Embera NeuroTherapeutics, Inc.",1151,,
Emergent BioSolutions,Emergent BioSolutions,1152,,
Emerson Lim,Emerson Lim,1153,,
Emerson Resources,Emerson Resources,1154,,
Emissary International LLC,Emissary International LLC,1155,,
Emory University,Emory University,1156,,University
Enanta Pharmaceuticals,Enanta Pharmaceuticals,1157,,
"Encore Vision, Inc.","Encore Vision, Inc.",1158,,
Encube Ethicals Pvt. Ltd.,Encube Ethicals Pvt. Ltd.,1159,,
Endo Pharmaceuticals,Endo Pharmaceuticals,1160,,
EndoCeutics Inc.,EndoCeutics Inc.,1161,,
Endocrine Research Society,Endocrine Research Society,1162,,
Endocyte,Endocyte,1163,,
"Energenesis Biomedical Co., Ltd.","Energenesis Biomedical Co., Ltd.",1164,,
"EngageTherapeutics, Inc.","EngageTherapeutics, Inc.",1165,,
Engeneic Pty Limited,Engeneic Pty Limited,1166,,
Ensysce Biosciences,Ensysce Biosciences,1167,,
Entasis Therapeutics,Entasis Therapeutics,1168,,
Ente Ospedaliero Ospedali Galliera,Ente Ospedaliero Ospedali Galliera,1169,,
"Entera Health, Inc","Entera Health, Inc",1170,,
Enterin Inc.,Enterin Inc.,1171,,
Enteris BioPharma Inc.,Enteris BioPharma Inc.,1172,,
Environmental Protection Agency (EPA),Environmental Protection Agency (EPA),1173,,
"Enzon Pharmaceuticals, Inc.","Enzon Pharmaceuticals, Inc.",1174,,
Enzychem Lifesciences Corporation,Enzychem Lifesciences Corporation,1175,,
Enzyvant Therapeutics GmbH,Enzyvant Therapeutics GmbH,1176,,
EpiAxis Therapeutics,EpiAxis Therapeutics,1177,,
Epic-CRO,Epic-CRO,1178,,
"EpicentRx, Inc.","EpicentRx, Inc.",1179,,
"Epidemiology Coordinating and Research Centre, Canada","Epidemiology Coordinating and Research Centre, Canada",1180,,
Epimed,Epimed,1181,,
"Epizyme, Inc.","Epizyme, Inc.",1182,,
Equatorial Guinea (EG) liquefied natural gas (LNG),Equatorial Guinea (EG) liquefied natural gas (LNG),1183,,
Erasmus Medical Center,Erasmus Medical Center,1184,,
Eric A. Hoffman,Eric A. Hoffman,1185,,Doctor
"Eric Bernicker, MD","Eric Bernicker, MD",1186,,Doctor
Eric Hollander,Eric Hollander,1187,,Doctor
Erik Mittra,Erik Mittra,1188,,
Erimos Pharmaceuticals,Erimos Pharmaceuticals,1189,,
Erin Newton,Erin Newton,1190,,
Erydel,Erydel,1191,,
Esanex Inc.,Esanex Inc.,1192,,
Escalier Biosciences B.V.,Escalier Biosciences B.V.,1193,,
Eslam Ayman Mohamed Shawki,Eslam Ayman Mohamed Shawki,1194,,
Eslam Mohammed Abbas,Eslam Mohammed Abbas,1195,,
Esperion Therapeutics,Esperion Therapeutics,1196,,
Espero Biopharma,Espero Biopharma,1197,,
Ethan Weinberg,Ethan Weinberg,1198,,
"Ethicon, Inc.","Ethicon, Inc.",1199,,
"Eton Pharmaceuticals, Inc.","Eton Pharmaceuticals, Inc.",1200,,
"Eugene B. McLaurin, M.D., F.A.C.S.","Eugene B. McLaurin, M.D., F.A.C.S.",1201,,Doctor
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),1202,,
Eureka Therapeutics Inc.,Eureka Therapeutics Inc.,1203,,
"EuroPharma, Inc.","EuroPharma, Inc.",1204,,
Eurofins,Eurofins,1205,,
European Network for the Study of Adrenal Tumors (ENS@T),European Network for the Study of Adrenal Tumors (ENS@T),1206,,
European Network of Gynaecological Oncological Trial Groups (ENGOT),European Network of Gynaecological Oncological Trial Groups (ENGOT),1207,,
European Network of Individualized Treatment in Endometrial Cancer - ENITEC,European Network of Individualized Treatment in Endometrial Cancer - ENITEC,1208,,
European Network of Translational Research in Ovarian Cancer - EUTROC,European Network of Translational Research in Ovarian Cancer - EUTROC,1209,,
European Organisation for Research and Treatment of Cancer,European Organisation for Research and Treatment of Cancer,1210,,
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,1210,Changed,
European Union,European Union,1211,,
Evan T.J. Dunbar Neuroblastoma Foundation,Evan T.J. Dunbar Neuroblastoma Foundation,1212,,
Evelo Biosciences,Evelo Biosciences,1213,,
Everett Meyer,Everett Meyer,1214,,
"Everfront Biotech Co., Ltd.","Everfront Biotech Co., Ltd.",1215,,
EvergreenHealth,EvergreenHealth,1216,,
Evofem Inc.,Evofem Inc.,1217,,
Exalenz Bioscience LTD.,Exalenz Bioscience LTD.,1218,,
Excel Diagnostics and Nuclear Oncology Center,Excel Diagnostics and Nuclear Oncology Center,1219,,
ExcellaBio LLC,ExcellaBio LLC,1220,,
"Exela Pharma Sciences, LLC.","Exela Pharma Sciences, LLC.",1221,,
Exelixis,Exelixis,1222,,
"Exicure, Inc.","Exicure, Inc.",1223,,
Eye Pharma,Eye Pharma,1224,,
"EyeMax, LLC","EyeMax, LLC",1225,,
"Eyegate Pharmaceuticals, Inc.","Eyegate Pharmaceuticals, Inc.",1226,,
Eyelid and Facial Consultants,Eyelid and Facial Consultants,1227,,
Ezra Cohen,Ezra Cohen,1228,,
F Peter Halas,F Peter Halas,1229,,
F-star Delta Limited,F-star Delta Limited,1230,,
F2G Ltd.,F2G Ltd.,1231,,
FDA Office of Orphan Products Development,FDA Office of Orphan Products Development,1232,,
FGK Clinical Research GmbH,FGK Clinical Research GmbH,1233,,
FHI 360,FHI 360,1234,,
FHI 360 - IND Holder,FHI 360,1234,Changed,
"FHR (Fellowship Health Resources, Inc.)","FHR (Fellowship Health Resources, Inc.)",1235,,
FKD Therapies Oy,FKD Therapies Oy,1236,,
"FLX Bio, Inc.","FLX Bio, Inc.",1237,,
FPA Women’s Health,FPA Women’s Health,1238,,
"Fadoi Foundation, Italy","Fadoi Foundation, Italy",1239,,
"Faes Farma, S.A.","Faes Farma, S.A.",1240,,
Faiq Gorial,Faiq Gorial,1241,,
Fairview Health Services,Fairview Health Services,1242,,
"Far East Bio-Tec Co., Ltd","Far East Bio-Tec Co., Ltd",1243,,
"Faraday Pharmaceuticals, Inc.","Faraday Pharmaceuticals, Inc.",1244,,
Fate Therapeutics,Fate Therapeutics,1245,,
"Federal Medical Centre, Makurdi","Federal Medical Centre, Makurdi",1246,,
"Feinberg School of Medicine, Northwestern University","Feinberg School of Medicine, Northwestern University",1247,,University
Feinstein Institute for Medical Research,Feinstein Institute for Medical Research,1248,,
Fenway Community Health,Fenway Community Health,1249,,
Fernando Fervenza,Fernando Fervenza,1250,,
Ferring Pharmaceuticals,Ferring Pharmaceuticals,1251,,
Fervent Pharmaceuticals,Fervent Pharmaceuticals,1252,,
FibroGen,FibroGen,1253,,
"Fichte, Endl & Elmer Eyecare","Fichte, Endl & Elmer Eyecare",1254,,
Fight for Sight,Fight for Sight,1255,,
Finch Research and Development LLC.,Finch Research and Development LLC.,1256,,
First Affiliated Hospital Xi'an Jiaotong University,First Affiliated Hospital Xi'an Jiaotong University,1257,,University
First Affiliated Hospital of Harbin Medical University,First Affiliated Hospital of Harbin Medical University,1258,,University
First Affiliated Hospital of Kunming Medical College,First Affiliated Hospital of Kunming Medical College,1259,,
First Affiliated Hospital of Wenzhou Medical Univeristy,First Affiliated Hospital of Wenzhou Medical Univeristy,1260,,
First Affiliated Hospital of Zhejiang University,First Affiliated Hospital of Zhejiang University,1261,,University
"First Affiliated Hospital, Sun Yat-Sen University","First Affiliated Hospital, Sun Yat-Sen University",1262,,University
First Hospitals affiliated to the China PLA General Hospital,First Hospitals affiliated to the China PLA General Hospital,1263,,
"First Pavlov State Medical University in St. Petersburg, Russia","First Pavlov State Medical University in St. Petersburg, Russia",1264,,University
"Five Eleven Pharma, Inc.","Five Eleven Pharma, Inc.",1265,,
"Five Prime Therapeutics, Inc.","Five Prime Therapeutics, Inc.",1266,,
"Flex Pharma, Inc.","Flex Pharma, Inc.",1267,,
"Flexion Therapeutics, Inc.","Flexion Therapeutics, Inc.",1268,,
Floor Backes,Floor Backes,1269,,
Florida Department of Health,Florida Department of Health,1270,,
Florida Hospital,Florida Hospital,1271,,
Florida International University,Florida International University,1272,,University
"Fluoropharma, Inc.","Fluoropharma, Inc.",1273,,
Foamix Ltd.,Foamix Ltd.,1274,,
"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico","Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",1275,,
Fondazione Michelangelo,Fondazione Michelangelo,1276,,
Fondazione per la Ricerca Ospedale Maggiore,Fondazione per la Ricerca Ospedale Maggiore,1277,,
Food and Drug Administration (FDA),Food and Drug Administration (FDA),1278,,
"Foresee Pharmaceuticals Co., Ltd.","Foresee Pharmaceuticals Co., Ltd.",1279,,
Forest Laboratories,Forest Laboratories,1280,,
Formation Biologics,Formation Biologics,1281,,
"Fortis Therapeutics, Inc.","Fortis Therapeutics, Inc.",1282,,
Fortius Clinic,Fortius Clinic,1283,,
"Forty Seven, Inc.","Forty Seven, Inc.",1284,,
Foundation Medicine,Foundation Medicine,1285,,
"Foundation Medicine, Inc.",Foundation Medicine,1285,Changed,
Foundation for Human Reproduction,Foundation for Human Reproduction,1286,,
Foundation of Orthopedic Trauma,Foundation of Orthopedic Trauma,1287,,
"Fountain Medical Development Co., Ltd.","Fountain Medical Development Co., Ltd.",1288,,
Fourth Military Medical University,Fourth Military Medical University,1289,,University
Fox Chase Cancer Center,Fox Chase Cancer Center,1290,,
Francis D. Pagani,Francis D. Pagani,1291,,
Francis I. Proctor Foundation,Francis I. Proctor Foundation,1292,,
"Francis I. Proctor Foundation, University of California, San Francisco",Francis I. Proctor Foundation,1292,Changed,University
Frantz Medical Group,Frantz Medical Group,1293,,
Fred Hutchinson Cancer Research Center,Fred Hutchinson Cancer Research Center,1294,,
Frederick Daniel Grant,Frederick Daniel Grant,1295,,
Frequency Therapeutics,Frequency Therapeutics,1296,,
Fresenius Kabi,Fresenius Kabi,1297,,
Friedreich's Ataxia Research Alliance,Friedreich's Ataxia Research Alliance,1298,,
"Friends Research Institute, Inc.","Friends Research Institute, Inc.",1299,,
Frontier Science and Technology Research Foundation Inc (FS),Frontier Science and Technology Research Foundation Inc (FS),1300,,
Fu-Dong Shi,Fu-Dong Shi,1301,,
Fudan University,Fudan University,1302,,University
Fujian Medical University,Fujian Medical University,1303,,University
Fujian Provincial Hospital Emergency Center,Fujian Provincial Hospital Emergency Center,1304,,
"Fujifilm Pharmaceuticals U.S.A., Inc.","Fujifilm Pharmaceuticals U.S.A., Inc.",1305,,
Fundacion para la Investigacion Biomedica del Hospital Universitario Ramon y Cajal,Fundacion para la Investigacion Biomedica del Hospital Universitario Ramon y Cajal,1306,,
Fundación de Investigación Biomédica - Hospital Universitario de La Princesa,Fundación de Investigación Biomédica - Hospital Universitario de La Princesa,1307,,
"G&E Herbal Biotechnology Co., LTD","G&E Herbal Biotechnology Co., LTD",1308,,
"G1 Therapeutics, Inc.","G1 Therapeutics, Inc.",1309,,
GE Healthcare,GE Healthcare,1310,,
GLWL Research Inc.,GLWL Research Inc.,1311,,
GMP-Orphan SAS,GMP-Orphan SAS,1312,,
GOG Foundation,GOG Foundation,1313,,
"GOG Foundation, Inc.",GOG Foundation,1313,Changed,
GOIZET,GOIZET,1314,,
GSO Global Clinical Research BV,GSO Global Clinical Research BV,1316,,
GTx,GTx,1317,,
GW Research Ltd,GW Research Ltd,1318,,
"Gage Development Company, LLC","Gage Development Company, LLC",1319,,
Galapagos NV,Galapagos NV,1320,,
Galderma,Galderma,1321,,
"Galderma Laboratories, L.P.",Galderma,1321,Changed,
Galderma R&D,Galderma,1321,Changed,
Gale Richardson,Gale Richardson,1322,,
Galectin Therapeutics Inc.,Galectin Therapeutics Inc.,1323,,
Galen Limited,Galen Limited,1324,,
"Galera Therapeutics, Inc.","Galera Therapeutics, Inc.",1325,,
"Gan and Lee Pharmaceuticals, USA","Gan and Lee Pharmaceuticals, USA",1326,,
Gary Archer Ph.D.,Gary Archer Ph.D.,1327,,
Gary L. Pierce,Gary L. Pierce,1328,,
Gary Morrow,Gary Morrow,1329,,
Gary Schwartz,Gary Schwartz,1330,,
Gastroenterology Consultants,Gastroenterology Consultants,1331,,
Gateway for Cancer Research,Gateway for Cancer Research,1332,,
"Gaylis, Norman B., M.D.","Gaylis, Norman B., M.D.",1333,,Doctor
Geisinger Clinic,Geisinger Clinic,1334,,
"Gemphire Therapeutics, Inc.","Gemphire Therapeutics, Inc.",1335,,
GenSight Biologics,GenSight Biologics,1336,,
GenX Laboratories Inc.,GenX Laboratories Inc.,1337,,
"Genentech (South San Francisco, California, USA)","Genentech (South San Francisco, California, USA)",1339,,
"Genentech, Inc.",Genentech,1338,Changed,
Geneplus-Beijing Co. Ltd.,Geneplus-Beijing Co. Ltd.,1340,,
General Clinical Research Program,General Clinical Research Program,1341,,
General Hospital of Ningxia Medical University,General Hospital of Ningxia Medical University,1342,,University
General Hospital of Shenyang Military Region,General Hospital of Shenyang Military Region,1343,,
"Generic Devices Consulting, Inc.","Generic Devices Consulting, Inc.",1344,,
Generon (Shanghai) Corporation Ltd.,Generon (Shanghai) Corporation Ltd.,1345,,
Genesys Regional Medical Center,Genesys Regional Medical Center,1346,,
"Geneticure, LLC","Geneticure, LLC",1347,,
Genfit,Genfit,1348,,
Genkyotex SA,Genkyotex SA,1349,,
Genmab,Genmab,1350,,
"Genocea Biosciences, Inc.","Genocea Biosciences, Inc.",1351,,
"Genomic Health®, Inc.","Genomic Health®, Inc.",1352,,
Genoscience Pharma,Genoscience Pharma,1353,,
"Genovate Biotechnology Co., Ltd.,","Genovate Biotechnology Co., Ltd.,",1354,,
"Genuine Research Center, Egypt","Genuine Research Center, Egypt",1355,,
"Genzyme, a Sanofi Company","Genzyme, a Sanofi Company",1356,,
George Albert Fisher,George Albert Fisher,1357,,
George Clinical Pty Ltd,George Clinical Pty Ltd,1358,,
George Mason University,George Mason University,1359,,University
George W. Sledge Jr.,George W. Sledge Jr.,1360,,
George Washington University,George Washington University,1361,,University
Georgetown University,Georgetown University,1362,,University
Georgia Institute of Technology,Georgia Institute of Technology,1363,,
Gerard Turino,Gerard Turino,1364,,
German Breast Group,German Breast Group,1365,,
German CLL Study Group,German CLL Study Group,1366,,
German Center for Neurodegenerative Diseases (DZNE),German Center for Neurodegenerative Diseases (DZNE),1367,,
Get out ONLUS,Get out ONLUS,1368,,
Gil Yosipovitch,Gil Yosipovitch,1369,,
"Gila Therapeutics, Inc.","Gila Therapeutics, Inc.",1370,,
Gilead Sciences,Gilead Sciences,1371,,
"Gilead, Inc. Investigator Sponsored Research","Gilead, Inc. Investigator Sponsored Research",1372,,
Gioacchino Calapai,Gioacchino Calapai,1373,,
Giuseppe Giaccone,Giuseppe Giaccone,1374,,
Give 1 For Dad Campaign,Give 1 For Dad Campaign,1375,,
"Gladwin, Mark, MD","Gladwin, Mark, MD",1376,,Doctor
GlasoSmithKline,GSK,1315,Changed,
Glaukos Corporation,Glaukos Corporation,1377,,
GlaxoSmithKline,GSK,1315,Changed,
Glenmark Pharmaceuticals Ltd. India,Glenmark,1378,Changed,
Glenmark Pharmaceuticals S.A.,Glenmark,1378,Changed,
Glenmark Specialty S.A.,Glenmark,1378,Changed,
Gliknik Inc.,Gliknik Inc.,1379,,
Global Alliance for TB Drug Development,Global Alliance for TB Drug Development,1380,,
Global Blood Therapeutics,Global Blood Therapeutics,1381,,
Global Health Innovative Technology Fund,Global Health Innovative Technology Fund,1382,,
"Global Isotopes, LLC d/b/a Zevacor Molecular","Global Isotopes, LLC d/b/a Zevacor Molecular",1383,,
Global Neurosciences Institute,Global Neurosciences Institute,1384,,
"Glostrup University Hospital, Copenhagen","Glostrup University Hospital, Copenhagen",1385,,University
"Glovia Co., Ltd.","Glovia Co., Ltd.",1386,,
GlycoMimetics Incorporated,GlycoMimetics Incorporated,1387,,
Golden Biotechnology Corporation,Golden Biotechnology Corporation,1388,,
GoldenMed BioTechnology,GoldenMed BioTechnology,1389,,
"Goldman, Butterwick, Fitzpatrick and Groff","Goldman, Butterwick, Fitzpatrick and Groff",1390,,
Gossamer Bio Inc.,Gossamer Bio Inc.,1391,,
Government of Equatorial Guinea,Government of Equatorial Guinea,1392,,
"Gradalis, Inc.","Gradalis, Inc.",1393,,
Grand Challenges Canada,Grand Challenges Canada,1394,,
Grant S Lipman,Grant S Lipman,1395,,
Granzer Regulatory Consulting & Services,Granzer Regulatory Consulting & Services,1396,,
Graybug Vision,Graybug Vision,1397,,
Great Ormond Street Hospital for Children NHS Foundation Trust,Great Ormond Street Hospital for Children NHS Foundation Trust,1398,,
Greater Baltimore Medical Center,Greater Baltimore Medical Center,1399,,
Greater Houston Retina Research,Greater Houston Retina Research,1400,,
Greater New York Academy of Prosthodontics,Greater New York Academy of Prosthodontics,1401,,
Greater Washington Community Foundation,Greater Washington Community Foundation,1402,,
Green Cross Corporation,Green Cross Corporation,1403,,
Greenville Health System,Greenville Health System,1404,,
"Greg Durm, MD","Greg Durm, MD",1405,,Doctor
Gregory A. Dekaban,Gregory A. Dekaban,1406,,Doctor
Gregory Fabiano,Gregory Fabiano,1407,,Doctor
Gregory Georgiadis,Gregory Georgiadis,1408,,Doctor
"Gregory J. Kato, MD","Gregory J. Kato, MD",1409,,Doctor
Grifols Biologicals Inc.,Grifols Biologicals Inc.,1410,,
"Grifols Diagnostics Solutions, Inc","Grifols Diagnostics Solutions, Inc",1411,,
Grifols Therapeutics LLC,Grifols Therapeutics LLC,1412,,
"Gritstone Oncology, Inc.","Gritstone Oncology, Inc.",1413,,
Groupe Francophone des Myelodysplasies,Groupe Francophone des Myelodysplasies,1414,,
Groupe Hospitalier Pitie-Salpetriere,Groupe Hospitalier Pitie-Salpetriere,1415,,
Grupo Español de Investigación del Cáncer de Mama,Grupo Español de Investigación del Cáncer de Mama,1416,,
Grupo de Apoio ao Adolescente e a Crianca com Cancer,Grupo de Apoio ao Adolescente e a Crianca com Cancer,1417,,
Grupo de Investigação em Bioquímica e Biologia Oral,Grupo de Investigação em Bioquímica e Biologia Oral,1418,,
Gruppo Italiano Malattie EMatologiche dell'Adulto,Gruppo Italiano Malattie EMatologiche dell'Adulto,1419,,
Gruppo Oncologico Italiano di Ricerca Clinica,Gruppo Oncologico Italiano di Ricerca Clinica,1420,,
Grünenthal GmbH,Grünenthal GmbH,1421,,
Guangdong General Hospital,Guangdong General Hospital,1422,,
Guangdong Provincial Hospital of Traditional Chinese Medicine,Guangdong Provincial Hospital of Traditional Chinese Medicine,1423,,
Guangzhou Women and Children's Medical Center,Guangzhou Women and Children's Medical Center,1424,,
Guerbet,Guerbet,1425,,
Guizhou Provincial People's Hospital,Guizhou Provincial People's Hospital,1426,,
Gulam Manji,Gulam Manji,1427,,
Gundersen Lutheran Medical Center,Gundersen Lutheran Medical Center,1428,,
Guru Sonpavde,Guru Sonpavde,1429,,
"Gustave Roussy, Cancer Campus, Grand Paris","Gustave Roussy, Cancer Campus, Grand Paris",1430,,
Gustavo Avila-Ortiz,Gustavo Avila-Ortiz,1431,,
Gynecologic Oncology Group,Gynecologic Oncology Group,1432,,
Gyongyi Szabo,Gyongyi Szabo,1433,,
H. Jean Khoury Cure CML Consortium,H. Jean Khoury Cure CML Consortium,1434,,
H. Kim Lyerly,H. Kim Lyerly,1435,,
H. Lee Moffitt Cancer Center and Research Institute,H. Lee Moffitt Cancer Center and Research Institute,1436,,
H. Lundbeck A/S,Lundbeck,2068,Changed,
H2O Clinical LLC,H2O Clinical LLC,1437,,
H3 Biomedicine Inc.,H3 Biomedicine Inc.,1438,,
HIV Immunotherapeutics Institute,HIV Immunotherapeutics Institute,1439,,
HIV Prevention Trials Network,HIV Prevention Trials Network,1440,,
HIV Vaccine Trials Network,HIV Prevention Trials Network,1440,Changed,
"HK Surgical, Inc.","HK Surgical, Inc.",1441,,
HRA Pharma,HRA Pharma,1442,,
Hackensack Meridian Health,Hackensack Meridian Health,1443,,
Hackensack University Medical Center (Hackensack Meridian),Hackensack University Medical Center (Hackensack Meridian),1444,,University
Hahnemann University Hospital,Hahnemann University Hospital,1445,,University
Hal C Charles,Hal C Charles,1446,,
Halozyme Therapeutics,Halozyme Therapeutics,1447,,
Halozyme and BiolineRx Ltd,Halozyme and BiolineRx Ltd,1448,,
Hamad Medical Corporation,Hamad Medical Corporation,1449,,
Hamdy A. Azim,Hamdy A. Azim,1450,,
Hamid Sayar,Hamid Sayar,1451,,
"Hamilton Health Sciences Cooperation, Population Health Research Institute","Hamilton Health Sciences Corporation, Population Health Research Institute",1452,Changed,
"Hamilton Health Sciences Corporation, Population Health Research Institute","Hamilton Health Sciences Corporation, Population Health Research Institute",1452,,
Hamilton Health Sciences-Juravinski Site/McMaster University,Hamilton Health Sciences-Juravinski Site/McMaster University,1453,,University
"Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair","Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair",1454,,Doctor
"Han Xu, M.D., Ph.D., Sponsor-Investigator-Monitor, IRB Chair","Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair",1454,Changed,Doctor
"HanAll BioPharma Co., Ltd.","HanAll BioPharma Co., Ltd.",1455,,
"Hanlee P. Ji, MD","Hanlee P. Ji, MD",1456,,Doctor
Hanmi Pharmaceutical Company Limited,Hanmi Pharmaceutical Company Limited,1457,,
Hannover Medical School,Hannover Medical School,1458,,
Hansa Medical AB,Hansa Medical AB,1459,,
Harald Becher,Harald Becher,1460,,
Harbin Hematology and Oncology Institute,Harbin Hematology and Oncology Institute,1461,,
Harbin Medical University,Harbin Medical University,1462,,University
Harbor Hospital Laboratory,Harbor Hospital Laboratory,1463,,
Harpoon Therapeutics,Harpoon Therapeutics,1464,,
Harris County Hospital District,Harris County Hospital District,1465,,
Hartford HealthCare,Hartford HealthCare,1466,,
Hartford Hospital,Hartford Hospital,1467,,
Harvard Medical School,Harvard Medical School,1468,,
Harvard Pilgrim Health Care,Harvard Pilgrim Health Care,1469,,
Harvard School of Public Health,Harvard School of Public Health,1470,,
Harvard University,Harvard University,1471,,University
Haukeland University Hospital,Haukeland University Hospital,1472,,University
Haus Bioceuticals,Haus Bioceuticals,1473,,
Haydom Lutheran Hospital,Haydom Lutheran Hospital,1474,,
Healios Oncology Nutrition,Healios Oncology Nutrition,1475,,
Health Decisions,Health Decisions,1476,,
"Health ResearchTx, LLC (HRTX)","Health ResearchTx, LLC (HRTX)",1477,,
HealthPartners Institute,HealthPartners Institute,1478,,
HealthPartners Institute Regions Cancer Care Center,HealthPartners Institute,1478,Changed,
Healthcore,Healthcore,1479,,
Healthpoint,Healthpoint,1480,,
Healthway Compounding Pharmacy in central Michigan,Healthway Compounding Pharmacy in central Michigan,1481,,
Heart Foundation of Australia,Heart Foundation of Australia,1482,,
Heart Metabolics Limited,Heart Metabolics Limited,1483,,
Heather Wakelee,Heather Wakelee,1484,,
Hebei Medical University Fourth Hospital,Hebei Medical University Fourth Hospital,1485,,University
Hebrew Home at Riverdale,Hebrew Home at Riverdale,1486,,
Heffter Research Institute,Heffter Research Institute,1487,,
Heidelberg University,Heidelberg University,1488,,University
Heidi Waldorf,Heidi Waldorf,1489,,
"Heinrich Elinzano, MD","Heinrich Elinzano, MD",1490,,Doctor
Hektoen Institute for Medical Research,Hektoen Institute for Medical Research,1491,,
Helen Foundation,Helen Foundation,1492,,
Helen Hayes Hospital,Helen Hayes Hospital,1493,,
Helios Klinikum Bad Saarow,Helios Klinikum Bad Saarow,1494,,
Helios Klinikum Berlin,Helios Klinikum Berlin,1495,,
Helse Stavanger HF,Helse Stavanger HF,1496,,
Helsinki University Central Hospital,Helsinki University Central Hospital,1497,,University
Helsinn Healthcare SA,Helsinn Healthcare SA,1498,,
Hemera Biosciences,Hemera Biosciences,1499,,
HemoCue,HemoCue,1500,,
"Hemophilia of Georgia, Inc.","Hemophilia of Georgia, Inc.",1501,,
Henan Cancer Hospital,Henan Cancer Hospital,1502,,
"Hengrui Therapeutics, Inc.","Hengrui Therapeutics, Inc.",1503,,
"Henlix, Inc","Henlix, Inc",1504,,
"Hennepin County Medical Center, Minneapolis","Hennepin County Medical Center, Minneapolis",1505,,
Henrik Wiggers,Henrik Wiggers,1506,,
Henry Ford Health System,Henry Ford Health System,1507,,
Henry Ford Hospital,Henry Ford Hospital,1508,,
"HepQuant, LLC","HepQuant, LLC",1509,,
Hepa C,Hepa C,1510,,
Herbert Irving Comprehensive Cancer Center,Herbert Irving Comprehensive Cancer Center,1511,,
Herbert Lyerly,Herbert Lyerly,1512,,
Heron Therapeutics,Heron Therapeutics,1513,,
High Impact Clinical Research Support Program,High Impact Clinical Research Support Program,1514,,
High Risk Obstetrical Consultants,High Risk Obstetrical Consultants,1515,,
HighTide Biopharma Pty Ltd,HighTide Biopharma Pty Ltd,1516,,
"Hill Dermaceuticals, Inc.","Hill Dermaceuticals, Inc.",1517,,
Hillel Grossman,Hillel Grossman,1518,,
Hina Khan,Hina Khan,1519,,
Histogen,Histogen,1520,,
Hitachi General Hospital,Hitachi General Hospital,1521,,
Hobart Harris,Hobart Harris,1522,,
Hoffmann-La Roche,Hoffmann-La Roche,1523,,
Holden Comprehensive Cancer Center,Holden Comprehensive Cancer Center,1524,,
"Holterman, Ai-Xuan, M.D.","Holterman, Ai-Xuan, M.D.",1525,,Doctor
"Holy Cross Hospital, Fort Lauderdale","Holy Cross Hospital, Fort Lauderdale",1526,,
"Holy Name Medical Center, Inc.","Holy Name Medical Center, Inc.",1527,,
"Holy Stone Healthcare Co., Ltd","Holy Stone Healthcare Co., Ltd",1528,,
Homa Ahmadzia,Homa Ahmadzia,1529,,
HonorHealth Research Institute,HonorHealth Research Institute,1530,,
Hookipa Biotech,Hookipa Biotech,1531,,
Hoosier Cancer Research Network,Hoosier Cancer Research Network,1532,,
Hope Pharmaceuticals,Hope Pharmaceuticals,1533,,
Hopital Psychiatrique De La Croix,Hopital Psychiatrique De La Croix,1534,,
"Horizon Pharma Ireland, Ltd., Dublin Ireland",Horizon,1535,Changed,
Horizon Pharma Rheumatology LLC,Horizon,1535,Changed,
"Horizon Pharma USA, Inc.",Horizon,1535,Changed,
"Horizon Therapeutics, LLC",Horizon,1535,Changed,
"Horus for Pharmaceutical Industries, Egypt","Horus for Pharmaceutical Industries, Egypt",1536,,
Hospices Civils de Lyon,Hospices Civils de Lyon,1537,,
"Hospital Authority, Hong Kong","Hospital Authority, Hong Kong",1538,,
